,Character,Count,KoreanFlag
359,帖,78,False
360,歸,78,False
361,末,77,False
362,墓,77,False
363,再,77,False
364,加,77,False
365,昌,77,False
366,晋,77,False
367,셴,77,True
368,雜,77,False
369,緣,77,False
370,根,77,False
371,휀,76,True
372,첵,76,True
373,恩,76,False
374,災,76,False
375,喪,76,False
376,쟝,76,True
377,奇,76,False
378,匠,75,False
379,皇,75,False
380,聞,75,False
381,退,75,False
382,交,75,False
383,線,75,False
384,念,75,False
385,찝,75,True
386,殿,74,False
387,隱,74,False
388,샨,74,True
389,稿,74,False
390,始,74,False
391,醫,74,False
392,蘇,74,False
393,律,74,False
394,好,74,False
395,녜,74,True
396,型,73,False
397,建,73,False
398,刻,73,False
399,庚,73,False
400,冊,73,False
401,孟,73,False
402,墨,73,False
403,맸,73,True
404,紙,73,False
405,陰,72,False
406,亞,72,False
407,籍,72,False
408,構,72,False
409,퉜,72,True
410,散,72,False
411,곗,72,True
412,衆,72,False
413,續,72,False
414,캑,72,True
415,病,71,False
416,益,71,False
417,廟,71,False
418,胡,71,False
419,版,71,False
420,仙,71,False
421,客,70,False
422,檢,70,False
423,魏,70,False
424,圓,70,False
425,米,70,False
426,旨,70,False
427,老,69,False
428,놉,69,True
429,調,69,False
430,긔,69,True
431,倍,69,False
432,뼉,69,True
433,헴,69,True
434,슌,69,True
435,弘,69,False
436,指,69,False
437,夏,69,False
438,從,69,False
439,顯,68,False
440,큽,68,True
441,端,68,False
442,賞,68,False
443,酒,68,False
444,室,68,False
445,傷,68,False
446,뗏,67,True
447,샥,67,True
448,創,67,False
449,燕,67,False
450,次,67,False
451,勝,67,False
452,\,67,False
453,覽,67,False
454,뮐,67,True
455,博,66,False
456,半,66,False
457,製,66,False
458,御,66,False
459,職,66,False
460,휜,66,True
461,낍,65,True
462,訓,65,False
463,認,65,False
464,辨,65,False
465,巖,65,False
466,試,65,False
467,떫,65,True
468,떵,65,True
469,뎁,65,True
470,香,64,False
471,照,64,False
472,뿅,64,True
473,承,64,False
474,起,64,False
475,禁,64,False
476,뎃,64,True
477,護,64,False
478,樓,63,False
479,姜,63,False
480,亡,63,False
481,隨,63,False
482,츤,63,True
483,嚴,63,False
484,宣,63,False
485,營,62,False
486,等,62,False
487,素,62,False
488,帶,62,False
489,陳,62,False
490,庵,62,False
491,疑,61,False
492,鶴,61,False
493,컹,61,True
494,容,61,False
495,境,61,False
496,弟,61,False
497,友,61,False
498,셩,61,True
499,講,61,False
500,亂,61,False
501,密,60,False
502,숴,60,True
503,뇰,60,True
504,蒙,60,False
505,셍,60,True
506,植,60,False
507,血,60,False
508,徐,60,False
509,뭍,60,True
510,彙,60,False
511,極,60,False
